# Force coefficients
# dragDir     : (9.848075e-01 1.736493e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-1.736493e-01 9.848075e-01 0.000000e+00)
# rollAxis    : (9.848075e-01 1.736493e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-1.736493e-01 9.848075e-01 0.000000e+00)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	1.333272e+00	1.527942e-20	3.885249e+00	-1.942625e+00	-1.967457e+00	6.666359e-01	-1.275989e+00	2.609261e+00	6.666359e-01	-6.666359e-01	-2.483229e-02	3.910082e+00
2             	7.486318e-01	-3.197811e-21	2.536744e+00	-1.268372e+00	-1.178801e+00	3.743159e-01	-8.940559e-01	1.642688e+00	3.743159e-01	-3.743159e-01	8.957052e-02	2.447173e+00
3             	-8.366750e-01	8.593741e-21	-1.329394e+00	6.646970e-01	8.244836e-01	-4.183375e-01	2.463595e-01	-1.083034e+00	-4.183375e-01	4.183375e-01	1.597866e-01	-1.489181e+00
4             	-1.439486e+00	1.031760e-20	-2.274856e+00	1.137428e+00	1.302709e+00	-7.197431e-01	4.176849e-01	-1.857171e+00	-7.197431e-01	7.197431e-01	1.652814e-01	-2.440137e+00
5             	-3.833718e-01	1.094349e-20	-3.467975e-01	1.733988e-01	2.852229e-01	-1.916859e-01	-1.828714e-02	-3.650847e-01	-1.916859e-01	1.916859e-01	1.118241e-01	-4.586216e-01
6             	6.718497e-01	-9.453124e-21	1.788817e+00	-8.944086e-01	-8.440087e-01	3.359248e-01	-5.584838e-01	1.230333e+00	3.359248e-01	-3.359248e-01	5.039995e-02	1.738417e+00
7             	1.159194e+00	-3.833412e-21	2.105022e+00	-1.052511e+00	-9.821948e-01	5.795970e-01	-4.729140e-01	1.632108e+00	5.795970e-01	-5.795970e-01	7.031623e-02	2.034706e+00
8             	4.336460e-01	-2.356448e-21	9.286615e-01	-4.643308e-01	-2.857118e-01	2.168230e-01	-2.475077e-01	6.811538e-01	2.168230e-01	-2.168230e-01	1.786189e-01	7.500426e-01
9             	-2.435666e-01	6.125610e-21	-2.927745e-01	1.463872e-01	4.025773e-01	-1.217833e-01	2.460393e-02	-2.681706e-01	-1.217833e-01	1.217833e-01	2.561901e-01	-5.489646e-01
10            	-4.463567e-01	6.915580e-21	-6.701833e-02	3.350917e-02	2.449895e-01	-2.231784e-01	-1.896692e-01	-2.566875e-01	-2.231784e-01	2.231784e-01	2.114803e-01	-2.784987e-01
11            	-1.886550e-01	-1.114764e-21	6.529224e-01	-3.264612e-01	-2.123980e-01	-9.432749e-02	-4.207887e-01	2.321337e-01	-9.432749e-02	9.432749e-02	1.140632e-01	5.388592e-01
12            	2.328942e-01	6.952701e-21	1.242723e+00	-6.213613e-01	-5.337142e-01	1.164471e-01	-5.049142e-01	7.378084e-01	1.164471e-01	-1.164471e-01	8.764706e-02	1.155076e+00
13            	2.868835e-01	2.791928e-21	9.718823e-01	-4.859411e-01	-3.451585e-01	1.434418e-01	-3.424994e-01	6.293829e-01	1.434418e-01	-1.434418e-01	1.407827e-01	8.310996e-01
14            	1.212722e-01	2.609413e-21	5.274160e-01	-2.637080e-01	-4.327269e-02	6.063612e-02	-2.030719e-01	3.243441e-01	6.063612e-02	-6.063612e-02	2.204353e-01	3.069807e-01
15            	-1.933304e-03	4.473843e-21	4.931830e-01	-2.465915e-01	-2.242656e-02	-9.666521e-04	-2.475582e-01	2.456249e-01	-9.666521e-04	9.666521e-04	2.241650e-01	2.690181e-01
16            	2.593169e-02	3.823727e-21	7.247015e-01	-3.623508e-01	-2.030809e-01	1.296584e-02	-3.493849e-01	3.753166e-01	1.296584e-02	-1.296584e-02	1.592699e-01	5.654316e-01
17            	7.887145e-02	2.657554e-21	9.023803e-01	-4.511901e-01	-3.206575e-01	3.943572e-02	-4.117544e-01	4.906259e-01	3.943572e-02	-3.943572e-02	1.305327e-01	7.718476e-01
18            	9.612484e-02	1.650339e-21	8.414915e-01	-4.207458e-01	-2.502587e-01	4.806242e-02	-3.726833e-01	4.688082e-01	4.806242e-02	-4.806242e-02	1.704871e-01	6.710044e-01
19            	7.350318e-02	-1.983079e-21	6.956651e-01	-3.478326e-01	-1.175095e-01	3.675159e-02	-3.110810e-01	3.845842e-01	3.675159e-02	-3.675159e-02	2.303230e-01	4.653421e-01
20            	3.805125e-02	-2.243306e-21	6.643442e-01	-3.321721e-01	-8.684960e-02	1.902562e-02	-3.131465e-01	3.511977e-01	1.902562e-02	-1.902562e-02	2.453225e-01	4.190217e-01
21            	3.245551e-02	-4.737635e-22	7.430863e-01	-3.715432e-01	-1.651494e-01	1.622776e-02	-3.553154e-01	3.877709e-01	1.622776e-02	-1.622776e-02	2.063937e-01	5.366926e-01
22            	5.452946e-02	1.662578e-21	8.339564e-01	-4.169782e-01	-2.512775e-01	2.726473e-02	-3.897135e-01	4.442429e-01	2.726473e-02	-2.726473e-02	1.657007e-01	6.682557e-01
23            	7.781608e-02	3.039493e-21	8.556151e-01	-4.278075e-01	-2.575439e-01	3.890804e-02	-3.888995e-01	4.667156e-01	3.890804e-02	-3.890804e-02	1.702636e-01	6.853514e-01
24            	7.768008e-02	2.948021e-21	8.114469e-01	-4.057234e-01	-1.920467e-01	3.884004e-02	-3.668834e-01	4.445635e-01	3.884004e-02	-3.884004e-02	2.136767e-01	5.977702e-01
25            	5.589007e-02	1.934943e-21	7.689529e-01	-3.844765e-01	-1.319279e-01	2.794503e-02	-3.565314e-01	4.124215e-01	2.794503e-02	-2.794503e-02	2.525485e-01	5.164044e-01
26            	3.210860e-02	1.219633e-21	7.689139e-01	-3.844570e-01	-1.296248e-01	1.605430e-02	-3.684027e-01	4.005113e-01	1.605430e-02	-1.605430e-02	2.548322e-01	5.140818e-01
27            	2.689114e-02	1.246387e-21	8.124433e-01	-4.062216e-01	-1.807278e-01	1.344557e-02	-3.927761e-01	4.196672e-01	1.344557e-02	-1.344557e-02	2.254938e-01	5.869495e-01
28            	4.080604e-02	1.731761e-21	8.591539e-01	-4.295770e-01	-2.338371e-01	2.040302e-02	-4.091739e-01	4.499800e-01	2.040302e-02	-2.040302e-02	1.957398e-01	6.634141e-01
29            	5.752516e-02	1.761910e-21	8.771009e-01	-4.385504e-01	-2.467122e-01	2.876258e-02	-4.097879e-01	4.673130e-01	2.876258e-02	-2.876258e-02	1.918382e-01	6.852627e-01
30            	6.102012e-02	1.114235e-21	8.631070e-01	-4.315535e-01	-2.189569e-01	3.051006e-02	-4.010434e-01	4.620636e-01	3.051006e-02	-3.051006e-02	2.125967e-01	6.505104e-01
31            	4.990496e-02	6.882633e-23	8.391260e-01	-4.195630e-01	-1.813789e-01	2.495248e-02	-3.946105e-01	4.445155e-01	2.495248e-02	-2.495248e-02	2.381841e-01	6.009419e-01
32            	3.553358e-02	-5.240152e-22	8.285644e-01	-4.142822e-01	-1.651987e-01	1.776679e-02	-3.965154e-01	4.320490e-01	1.776679e-02	-1.776679e-02	2.490835e-01	5.794809e-01
33            	3.016974e-02	-3.677646e-22	8.418429e-01	-4.209215e-01	-1.791138e-01	1.508487e-02	-4.058366e-01	4.360063e-01	1.508487e-02	-1.508487e-02	2.418077e-01	6.000353e-01
34            	3.588185e-02	4.251649e-22	8.703275e-01	-4.351637e-01	-2.081170e-01	1.794092e-02	-4.172228e-01	4.531047e-01	1.794092e-02	-1.794092e-02	2.270467e-01	6.432808e-01
35            	4.498693e-02	1.283570e-21	8.961417e-01	-4.480709e-01	-2.298118e-01	2.249347e-02	-4.255774e-01	4.705643e-01	2.249347e-02	-2.249347e-02	2.182590e-01	6.778827e-01
36            	4.790163e-02	1.620976e-21	9.029355e-01	-4.514678e-01	-2.300355e-01	2.395081e-02	-4.275170e-01	4.754186e-01	2.395081e-02	-2.395081e-02	2.214323e-01	6.815032e-01
